,,,,,,,ALL APPLICANTS,,,,,SIBLING APPLICANTS,,,,,"Elementary School Attendance Area APPLICANTS
Only relevant for elementary school grades (TK-5)",,,,,"Middle School Feeder APPLICANTS
Only relevant for 6th grade applicants",,,,,CTIP1 APPLICANTS (LOW TEST SCORE AREA TIEBREAKER),,,,,APPLICANTS WITH NO TIEBREAKERS,,,,
,Hillcrest ESKMM,614,Hillcrest ES,K,MM,SDC - Mild to Moderate,10,3,29%,9,95%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,3,1,30%,3,100%,7,2,29%,7,93%
,Hillcrest ES1MM,614,Hillcrest ES,1,MM,SDC - Mild to Moderate,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%
,Hillcrest ES2MM,614,Hillcrest ES,2,MM,SDC - Mild to Moderate,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,0%
,Hillcrest ES3MM,614,Hillcrest ES,3,MM,SDC - Mild to Moderate,1,0,0%,0,50%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,0%,0,0,0%,0,100%
,Hillcrest ES4MM,614,Hillcrest ES,4,MM,SDC - Mild to Moderate,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%
,Hillcrest ES5MM,614,Hillcrest ES,5,MM,SDC - Mild to Moderate,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,0%
,Hillcrest ESKSB,614,Hillcrest ES,K,SB,Spanish Biliteracy,40,15,37%,40,100%,2,2,100%,2,100%,0,0,-,0,-,0,0,-,0,-,12,4,30%,12,100%,25,9,36%,25,100%
,Hillcrest ES1SB,614,Hillcrest ES,1,SB,Spanish Biliteracy,1,0,25%,1,50%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,0%,1,0,33%,1,67%
,Hillcrest ES2SB,614,Hillcrest ES,2,SB,Spanish Biliteracy,2,0,17%,1,67%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%,0,0,0%,0,100%
,Hillcrest ES3SB,614,Hillcrest ES,3,SB,Spanish Biliteracy,0,0,0%,0,0%,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Hillcrest ES4SB,614,Hillcrest ES,4,SB,Spanish Biliteracy,2,0,13%,2,75%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,25%,1,100%,0,0,-,0,-
,Hillcrest ES5SB,614,Hillcrest ES,5,SB,Spanish Biliteracy,1,0,33%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,100%,0,0,-,0,-
Opened in 24-25,Hoover (Herbert) MS6AF,607,Hoover (Herbert) MS,6,AF,SDC – Mild/Mod Autism Focus,8,2,30%,6,83%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,50%,1,100%,6,2,26%,5,79%
Opened in 24-25,Hoover (Herbert) MS7AF,607,Hoover (Herbert) MS,7,AF,SDC – Mild/Mod Autism Focus,1,1,100%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%,1,1,100%,1,100%
Opened in 24-25,Hoover (Herbert) MS8AF,607,Hoover (Herbert) MS,8,AF,SDC – Mild/Mod Autism Focus,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Hoover (Herbert) MS6CN,607,Hoover (Herbert) MS,6,CN,Cantonese Immersion (Cantonese Speakers),111,66,59%,109,98%,12,9,69%,12,100%,0,0,-,0,-,68,52,76%,67,99%,10,6,54%,10,100%,4,1,14%,3,71%
,Hoover (Herbert) MS7CN,607,Hoover (Herbert) MS,7,CN,Cantonese Immersion (Cantonese Speakers),1,1,75%,1,75%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%,1,1,67%,1,67%
,Hoover (Herbert) MS8CN,607,Hoover (Herbert) MS,8,CN,Cantonese Immersion (Cantonese Speakers),1,0,50%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,0,0,100%,0,100%
,Hoover (Herbert) MS6ED,607,Hoover (Herbert) MS,6,ED,SDC - SOAR,1,1,60%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,1,1,75%,1,100%
,Hoover (Herbert) MS7ED,607,Hoover (Herbert) MS,7,ED,SDC - SOAR,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Hoover (Herbert) MS8ED,607,Hoover (Herbert) MS,8,ED,SDC - SOAR,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Hoover (Herbert) MS6GE,607,Hoover (Herbert) MS,6,GE,General Education,1127,215,19%,930,83%,39,27,68%,39,100%,0,0,-,0,-,286,197,69%,284,99%,125,31,24%,119,95%,742,3,0%,554,75%
,Hoover (Herbert) MS7GE,607,Hoover (Herbert) MS,7,GE,General Education,36,4,10%,12,32%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,3,0,8%,2,58%,33,3,10%,10,30%
,Hoover (Herbert) MS8GE,607,Hoover (Herbert) MS,8,GE,General Education,13,2,14%,6,44%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,100%,12,2,15%,5,42%
,Hoover (Herbert) MS6MM,607,Hoover (Herbert) MS,6,MM,SDC - Mild to Moderate,9,2,26%,8,86%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,1,33%,2,100%,7,2,23%,5,81%
,Hoover (Herbert) MS7MM,607,Hoover (Herbert) MS,7,MM,SDC - Mild to Moderate,1,0,33%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,1,0,50%,1,100%
,Hoover (Herbert) MS8MM,607,Hoover (Herbert) MS,8,MM,SDC - Mild to Moderate,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%
,Hoover (Herbert) MS6SN,607,Hoover (Herbert) MS,6,SN,Spanish Immersion (Spanish Speakers),164,66,40%,143,87%,8,6,80%,7,97%,0,0,-,0,-,44,26,60%,42,97%,49,24,49%,49,99%,2,0,0%,1,63%
,Hoover (Herbert) MS7SN,607,Hoover (Herbert) MS,7,SN,Spanish Immersion (Spanish Speakers),2,2,67%,2,67%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%,1,1,50%,1,50%
,Hoover (Herbert) MS8SN,607,Hoover (Herbert) MS,8,SN,Spanish Immersion (Spanish Speakers),0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Huerta (Dolores) ESTKMS,537,Huerta (Dolores) ES,TK,MS,SDC - Extensive Support,5,2,29%,3,62%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,1,56%,2,67%,3,0,8%,2,58%
,Huerta (Dolores) ESKMS,537,Huerta (Dolores) ES,K,MS,SDC - Extensive Support,5,1,11%,4,83%,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,100%,3,1,17%,3,83%
,Huerta (Dolores) ES1MS,537,Huerta (Dolores) ES,1,MS,SDC - Extensive Support,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Huerta (Dolores) ES2MS,537,Huerta (Dolores) ES,2,MS,SDC - Extensive Support,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Huerta (Dolores) ES3MS,537,Huerta (Dolores) ES,3,MS,SDC - Extensive Support,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Huerta (Dolores) ES4MS,537,Huerta (Dolores) ES,4,MS,SDC - Extensive Support,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Huerta (Dolores) ES5MS,537,Huerta (Dolores) ES,5,MS,SDC - Extensive Support,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%
Opened in 24-25,Huerta (Dolores) ESTKSE,537,Huerta (Dolores) ES,TK,SE,Spanish Immersion (Non-Native),173,8,5%,77,44%,9,5,56%,5,56%,0,0,-,0,-,0,0,-,0,-,22,4,16%,18,79%,143,1,0%,55,38%
,Huerta (Dolores) ESKSE,537,Huerta (Dolores) ES,K,SE,Spanish Immersion (Non-Native),193,23,12%,139,72%,8,8,100%,8,100%,0,0,-,0,-,0,0,-,0,-,29,10,33%,29,98%,149,6,4%,96,64%
,Huerta (Dolores) ES1SE,537,Huerta (Dolores) ES,1,SE,Spanish Immersion (Non-Native),9,1,8%,4,43%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,0,13%,2,75%,6,0,4%,2,35%
Opened in 24-25,Huerta (Dolores) ESTKSN,537,Huerta (Dolores) ES,TK,SN,Spanish Immersion (Spanish Speakers),58,12,21%,33,57%,6,6,94%,6,100%,0,0,-,0,-,0,0,-,0,-,10,3,31%,8,86%,41,3,8%,18,43%
,Huerta (Dolores) ESKSN,537,Huerta (Dolores) ES,K,SN,Spanish Immersion (Spanish Speakers),102,31,31%,89,87%,7,7,96%,7,100%,0,0,-,0,-,0,0,-,0,-,21,6,29%,21,100%,64,15,23%,51,79%
,Huerta (Dolores) ES1SN,537,Huerta (Dolores) ES,1,SN,Spanish Immersion (Spanish Speakers),3,0,8%,1,38%,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,100%,1,0,25%,0,25%
,Huerta (Dolores) ES2SN,537,Huerta (Dolores) ES,2,SN,Spanish Immersion (Spanish Speakers),6,1,18%,4,64%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,1,25%,2,88%,1,0,33%,0,33%
,Huerta (Dolores) ES3SN,537,Huerta (Dolores) ES,3,SN,Spanish Immersion (Spanish Speakers),5,2,35%,4,75%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,3,1,20%,2,80%,1,1,40%,1,40%
,Huerta (Dolores) ES4SN,537,Huerta (Dolores) ES,4,SN,Spanish Immersion (Spanish Speakers),6,1,12%,3,48%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,3,1,20%,2,60%,0,0,0%,0,100%
,Huerta (Dolores) ES5SN,537,Huerta (Dolores) ES,5,SN,Spanish Immersion (Spanish Speakers),2,1,33%,2,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,25%,1,100%,0,0,0%,0,100%
,Independence HS9GE,466,Independence HS,9,GE,General Education,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%
,Independence HS10GE,466,Independence HS,10,GE,General Education,1,1,50%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,50%,1,100%
,Independence HS11GE,466,Independence HS,11,GE,General Education,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%
,Independence HS12GE,466,Independence HS,12,GE,General Education,1,0,0%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,100%
,Jefferson ESKAF,644,Jefferson ES,K,AF,SDC – Mild/Mod Autism Focus,12,4,36%,9,77%,0,0,-,0,-,1,1,100%,1,100%,0,0,-,0,-,3,1,30%,3,100%,8,3,30%,6,67%
,Jefferson ES1AF,644,Jefferson ES,1,AF,SDC – Mild/Mod Autism Focus,2,0,0%,0,14%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,0%,2,0,0%,0,17%
,Jefferson ES2AF,644,Jefferson ES,2,AF,SDC – Mild/Mod Autism Focus,1,0,0%,0,25%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,0,25%
,Jefferson ES3AF,644,Jefferson ES,3,AF,SDC – Mild/Mod Autism Focus,1,0,33%,0,33%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,33%,0,33%
,Jefferson ES4AF,644,Jefferson ES,4,AF,SDC – Mild/Mod Autism Focus,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,0%
,Jefferson ES5AF,644,Jefferson ES,5,AF,SDC – Mild/Mod Autism Focus,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Jefferson ESKGE,644,Jefferson ES,K,GE,General Education,464,92,20%,417,90%,26,24,92%,26,100%,70,55,78%,70,100%,0,0,-,0,-,12,1,6%,12,100%,371,27,7%,324,87%
,Jefferson ES1GE,644,Jefferson ES,1,GE,General Education,27,12,45%,22,81%,1,1,100%,1,100%,3,2,67%,3,83%,0,0,-,0,-,0,0,-,0,-,23,10,41%,19,81%
,Jefferson ES2GE,644,Jefferson ES,2,GE,General Education,19,8,42%,13,68%,0,0,-,0,-,1,1,40%,1,40%,0,0,-,0,-,1,1,50%,1,100%,16,7,42%,11,68%
,Jefferson ES3GE,644,Jefferson ES,3,GE,General Education,20,8,37%,13,64%,0,0,100%,0,100%,1,1,75%,1,75%,0,0,-,0,-,1,0,33%,1,100%,18,6,34%,11,62%
,Jefferson ES4GE,644,Jefferson ES,4,GE,General Education,16,3,18%,9,60%,0,0,0%,0,0%,2,1,50%,1,67%,0,0,-,0,-,1,0,0%,1,100%,13,2,15%,8,58%
,Jefferson ES5GE,644,Jefferson ES,5,GE,General Education,15,3,17%,5,36%,0,0,-,0,-,1,1,40%,1,40%,0,0,-,0,-,1,0,0%,0,0%,13,2,16%,5,37%
Opened in 24-25,Jordan (June) HS9AF,757,Jordan (June) HS,9,AF,SDC – Mild/Mod Autism Focus,3,2,70%,3,90%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%,3,2,67%,3,89%
Opened in 24-25,Jordan (June) HS10AF,757,Jordan (June) HS,10,AF,SDC – Mild/Mod Autism Focus,1,0,50%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,50%,1,100%
Opened in 24-25,Jordan (June) HS11AF,757,Jordan (June) HS,11,AF,SDC – Mild/Mod Autism Focus,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
Opened in 24-25,Jordan (June) HS12AF,757,Jordan (June) HS,12,AF,SDC – Mild/Mod Autism Focus,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Jordan (June) HS9GE,757,Jordan (June) HS,9,GE,General Education,224,58,26%,223,100%,4,3,76%,4,100%,0,0,-,0,-,0,0,-,0,-,61,9,15%,61,100%,154,46,30%,154,100%
,Jordan (June) HS10GE,757,Jordan (June) HS,10,GE,General Education,4,1,25%,4,88%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,20%,1,100%,3,1,27%,2,82%
,Jordan (June) HS11GE,757,Jordan (June) HS,11,GE,General Education,2,1,38%,2,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,2,1,43%,2,100%
,Jordan (June) HS12GE,757,Jordan (June) HS,12,GE,General Education,1,0,0%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,1,0,0%,1,100%
,Key (Francis Scott) ESTKGE,544,Key (Francis Scott) ES,TK,GE,General Education,267,22,8%,111,42%,21,18,89%,19,91%,34,12,35%,14,41%,0,0,-,0,-,5,1,16%,5,95%,220,3,1%,86,39%
,Key (Francis Scott) ESKGE,544,Key (Francis Scott) ES,K,GE,General Education,447,78,18%,381,85%,26,25,97%,26,100%,72,62,87%,72,100%,0,0,-,0,-,6,0,4%,6,100%,361,8,2%,295,82%
,Key (Francis Scott) ES1GE,544,Key (Francis Scott) ES,1,GE,General Education,23,3,12%,12,51%,1,1,100%,1,100%,3,1,27%,1,45%,0,0,-,0,-,0,0,-,0,-,20,2,9%,10,51%
,Key (Francis Scott) ES2GE,544,Key (Francis Scott) ES,2,GE,General Education,12,2,12%,4,33%,0,0,0%,0,0%,3,1,25%,1,33%,0,0,-,0,-,0,0,0%,0,100%,9,1,8%,3,31%
,Key (Francis Scott) ES3GE,544,Key (Francis Scott) ES,3,GE,General Education,14,2,16%,6,45%,0,0,100%,0,100%,1,1,40%,1,40%,0,0,-,0,-,0,0,0%,0,100%,12,2,12%,5,43%
,Key (Francis Scott) ES4GE,544,Key (Francis Scott) ES,4,GE,General Education,16,7,44%,11,68%,0,0,-,0,-,2,2,75%,2,100%,0,0,-,0,-,0,0,0%,0,100%,14,6,41%,9,63%
,Key (Francis Scott) ES5GE,544,Key (Francis Scott) ES,5,GE,General Education,17,2,10%,5,30%,1,0,50%,0,50%,2,1,33%,1,33%,0,0,-,0,-,1,0,0%,1,67%,13,1,6%,4,26%
Opened in 25-26,Key (Francis Scott) ESTKMS,544,Key (Francis Scott) ES,TK,MS,SDC - Extensive Support,2,1,67%,2,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,100%,1,1,100%,1,100%
,Key (Francis Scott) ESKMS,544,Key (Francis Scott) ES,K,MS,SDC - Extensive Support,4,2,40%,4,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,100%,3,2,46%,3,100%
,Key (Francis Scott) ES1MS,544,Key (Francis Scott) ES,1,MS,SDC - Extensive Support,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Key (Francis Scott) ES3MS,544,Key (Francis Scott) ES,3,MS,SDC - Extensive Support,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Key (Francis Scott) ES4MS,544,Key (Francis Scott) ES,4,MS,SDC - Extensive Support,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Key (Francis Scott) ES5MS,544,Key (Francis Scott) ES,5,MS,SDC - Extensive Support,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,King (Thomas Starr) ESTKGE,838,King (Thomas Starr) ES,TK,GE,General Education,120,25,20%,81,67%,12,12,100%,12,100%,9,4,47%,8,94%,0,0,-,0,-,30,11,36%,29,95%,81,5,6%,43,53%
,King (Thomas Starr) ESKGE,838,King (Thomas Starr) ES,K,GE,General Education,83,22,26%,83,100%,5,2,30%,5,100%,8,2,22%,8,100%,0,0,-,0,-,22,2,10%,22,100%,57,18,32%,57,100%
,King (Thomas Starr) ES1GE,838,King (Thomas Starr) ES,1,GE,General Education,6,3,46%,5,88%,0,0,-,0,-,0,0,100%,0,100%,0,0,-,0,-,1,0,0%,1,100%,5,3,53%,4,84%
,King (Thomas Starr) ES2GE,838,King (Thomas Starr) ES,2,GE,General Education,2,1,43%,2,86%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,2,1,50%,1,83%
,King (Thomas Starr) ES3GE,838,King (Thomas Starr) ES,3,GE,General Education,2,1,44%,2,100%,0,0,-,0,-,1,1,100%,1,100%,0,0,-,0,-,1,1,75%,1,100%,1,0,20%,1,100%
,King (Thomas Starr) ES4GE,838,King (Thomas Starr) ES,4,GE,General Education,2,1,33%,2,100%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,1,1,67%,1,100%,1,0,0%,1,100%
,King (Thomas Starr) ES5GE,838,King (Thomas Starr) ES,5,GE,General Education,2,1,38%,2,100%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%,2,0,17%,2,100%
,King (Thomas Starr) ESKME,838,King (Thomas Starr) ES,K,ME,Mandarin Immersion (Non-Native),94,18,20%,71,76%,8,8,97%,8,100%,0,0,-,0,-,0,0,-,0,-,22,8,38%,21,97%,67,5,7%,46,68%
,King (Thomas Starr) ES1ME,838,King (Thomas Starr) ES,1,ME,Mandarin Immersion (Non-Native),9,1,6%,2,26%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,1,33%,1,83%,7,0,0%,1,14%
,King (Thomas Starr) ESKMN,838,King (Thomas Starr) ES,K,MN,Mandarin Immersion (Mandarin Speakers),65,25,39%,48,73%,8,8,97%,8,100%,0,0,-,0,-,0,0,-,0,-,9,5,57%,9,100%,49,13,27%,32,64%
,King (Thomas Starr) ES1MN,838,King (Thomas Starr) ES,1,MN,Mandarin Immersion (Mandarin Speakers),2,1,44%,2,67%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,1,50%,2,75%
,King (Thomas Starr) ES2MN,838,King (Thomas Starr) ES,2,MN,Mandarin Immersion (Mandarin Speakers),3,1,33%,2,50%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,3,1,33%,2,50%
,King (Thomas Starr) ES3MN,838,King (Thomas Starr) ES,3,MN,Mandarin Immersion (Mandarin Speakers),2,1,33%,1,67%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,1,33%,1,67%
,King (Thomas Starr) ES4MN,838,King (Thomas Starr) ES,4,MN,Mandarin Immersion (Mandarin Speakers),2,2,86%,2,100%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,1,83%,2,100%
,King (Thomas Starr) ES5MN,838,King (Thomas Starr) ES,5,MN,Mandarin Immersion (Mandarin Speakers),1,1,67%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,67%,1,100%
Opened in 25-26,King (Thomas Starr) ESTKSA,838,King (Thomas Starr) ES,TK,SA,SDC - Extensive Support w Autism Focus,9,3,33%,7,78%,1,1,100%,1,100%,1,1,100%,1,100%,0,0,-,0,-,6,3,42%,4,67%,3,1,17%,3,100%
,King (Thomas Starr) ESKSA,838,King (Thomas Starr) ES,K,SA,SDC - Extensive Support w Autism Focus,6,2,28%,6,92%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,1,44%,2,100%,4,1,19%,4,88%
,King (Thomas Starr) ES1SA,838,King (Thomas Starr) ES,1,SA,SDC - Extensive Support w Autism Focus,1,0,0%,0,50%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,0,50%,0,0,-,0,-
,King (Thomas Starr) ES2SA,838,King (Thomas Starr) ES,2,SA,SDC - Extensive Support w Autism Focus,1,1,67%,1,67%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,67%,1,67%
,King (Thomas Starr) ES3SA,838,King (Thomas Starr) ES,3,SA,SDC - Extensive Support w Autism Focus,1,0,0%,0,50%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,0%,0,0,0%,0,100%
,King (Thomas Starr) ES4SA,838,King (Thomas Starr) ES,4,SA,SDC - Extensive Support w Autism Focus,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%
,King (Thomas Starr) ES5SA,838,King (Thomas Starr) ES,5,SA,SDC - Extensive Support w Autism Focus,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%
,King Jr (Dr Martin L) MS6GE,710,King Jr (Dr Martin L) MS,6,GE,General Education,319,181,57%,318,100%,13,12,92%,13,100%,0,0,-,0,-,84,58,69%,84,100%,89,38,43%,89,100%,160,92,57%,160,100%
,King Jr (Dr Martin L) MS7GE,710,King Jr (Dr Martin L) MS,7,GE,General Education,5,3,63%,5,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,20%,1,100%,4,3,79%,4,100%
,King Jr (Dr Martin L) MS8GE,710,King Jr (Dr Martin L) MS,8,GE,General Education,4,2,43%,4,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,20%,1,100%,2,1,56%,2,100%
,King Jr (Dr Martin L) MS6MM,710,King Jr (Dr Martin L) MS,6,MM,SDC - Mild to Moderate,5,2,30%,5,95%,0,0,-,0,-,0,0,-,0,-,3,2,55%,3,100%,3,1,20%,2,90%,1,0,0%,1,100%
,King Jr (Dr Martin L) MS7MM,710,King Jr (Dr Martin L) MS,7,MM,SDC - Mild to Moderate,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,0,0,-,0,-
,King Jr (Dr Martin L) MS8MM,710,King Jr (Dr Martin L) MS,8,MM,SDC - Mild to Moderate,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Lafayette ESTKAO,664,Lafayette ES,TK,AO,SDC - Auditory/Oral,1,0,25%,1,50%,0,0,100%,0,100%,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,1,0,0%,0,50%
,Lafayette ESKAO,664,Lafayette ES,K,AO,SDC - Auditory/Oral,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%
,Lafayette ES1AO,664,Lafayette ES,1,AO,SDC - Auditory/Oral,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Lafayette ES2AO,664,Lafayette ES,2,AO,SDC - Auditory/Oral,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,0%,0,0,-,0,-
,Lafayette ES3AO,664,Lafayette ES,3,AO,SDC - Auditory/Oral,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Lafayette ES4AO,664,Lafayette ES,4,AO,SDC - Auditory/Oral,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Lafayette ES5AO,664,Lafayette ES,5,AO,SDC - Auditory/Oral,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
Opened in 25-26,Lafayette ESTKGE,664,Lafayette ES,TK,GE,General Education,237,33,14%,125,53%,15,15,97%,15,100%,42,31,74%,33,79%,0,0,-,0,-,4,1,13%,4,100%,189,0,0%,87,46%
,Lafayette ESKGE,664,Lafayette ES,K,GE,General Education,414,69,17%,341,82%,22,22,99%,22,100%,78,61,78%,71,91%,0,0,-,0,-,11,1,9%,11,100%,320,2,1%,253,79%
,Lafayette ES1GE,664,Lafayette ES,1,GE,General Education,15,5,34%,13,85%,0,0,-,0,-,3,2,67%,3,92%,0,0,-,0,-,1,0,0%,1,100%,12,3,28%,10,83%
,Lafayette ES2GE,664,Lafayette ES,2,GE,General Education,16,3,21%,9,58%,0,0,0%,0,100%,3,2,64%,2,64%,0,0,-,0,-,1,0,33%,1,100%,12,1,11%,6,53%
